,index,MARS,known_types,Obp19d,Obp56d,Obp83a,seq_batch,seq_depth,HDBSCAN_attempt,Or85c,5-HT1A,5-HT2B,Type,annotated
1579,ORNnuclei_adult_nSybUNC84GFP_P5_I17,13,"DL2v/d, DP1l, DC4/DP1m",5.626806,0.0,8.93654,Plate #5 (unc84::GFP),206558,1,0.0,0.0,0.0,Ir_DP1m_DC4,DP1m_DC4
1580,ORN_10day_nuclei_P3_A8,4,VA1d,16.444551,10.033363,12.573206,Plate #3 (lam::GFP),2184426,-1,0.0,0.0,5.6166973,Or_VA1v,VA1v
1581,ORNnuclei_adult_nSybUNC84GFP_P8_J4,26,DL5,6.9103136,0.0,0.0,Plate #8 (unc84::GFP),419164,14,0.0,0.0,0.0,Or_DL5,DL5
1582,ORNnuclei_adult_nSybUNC84GFP_P9_E6,12,"DL2v/d, DP1l, DC4/DP1m",10.215517,0.0,8.035388,Plate #9 (unc84::GFP),294616,1,0.0,0.0,11.427175,Ir_DL2d/v_DP1l_VC3,DL2d/v_DP1l_VC3l
1583,ORNnuclei_adult_nSybUNC84GFP_P7_K24,5,DA1,4.952522,0.0,9.748141,Plate #7 (unc84::GFP),300360,4,0.0,0.0,9.512,Or_DA1,DA1
1584,ORNnuclei_adult_nSybUNC84GFP_P7_L7,1,DM4,7.6509523,0.0,0.0,Plate #7 (unc84::GFP),375026,2,0.0,0.0,0.0,Or_DM4,DM4
1585,ORNnuclei_adult_nSybUNC84GFP_P8_E17,14,DM1/VA2,11.666725,10.26861,8.749871,Plate #8 (unc84::GFP),554132,7,0.0,0.0,11.42208,Or_DM1,DM1
1586,ORNnuclei_adult_nSybUNC84GFP_P10_H13,4,VA1v,8.997499,5.741782,5.523876,Plate #10 (unc84::GFP),399911,10,0.0,0.0,0.0,Or_VA1v,VA1v
1587,ORNnuclei_adult_nSybUNC84GFP_P5_F23,0,V,9.904005,9.62471,0.0,Plate #5 (unc84::GFP),219417,0,0.0,0.0,6.6620016,Gr_V,V
1588,ORNnuclei_adult_nSybUNC84GFP_P2_I2,7,DC1,11.764811,6.9297376,12.94276,Plate #2 (unc84::GFP) (unc84::GFP),1480373,15,0.0,0.0,5.5525727,Or_DC1,DC1
